iter	AUC	Logloss	AUC
0	0.709702471	0.6887013711	0.709702471
1	0.7108309129	0.6845480972	0.7108309129
2	0.7110812908	0.6806372793	0.7110812908
3	0.7122256479	0.6769599265	0.7122256479
4	0.7128620718	0.6735277155	0.7128620718
5	0.7132342169	0.6702943966	0.7132342169
6	0.7137890233	0.6672306644	0.7137890233
7	0.7142992501	0.6643423333	0.7142992501
8	0.7145468782	0.6616501137	0.7145468782
9	0.7149090665	0.6590460135	0.7149090665
10	0.7150514582	0.6566633856	0.7150514582111	0.7154557636	0.6543450921	0.7154557636112	0.7162281557	0.6521720032	0.7162281557113	0.7166287828	0.6501236397	0.7166287828114	0.7170130634	0.6482007886	0.7170130631115	0.717360065	0.646329055	0.717360065
16	0.7176829394	0.6445730206	0.7176829394
17	0.7179515262	0.6428957659	0.7179515262
18	0.7182532267	0.6413443772	0.7182532267
19	0.7184991276	0.6398916518	0.7184991276
20	0.7187549552	0.638531295	0.7187549552
21	0.7190627674	0.6372068088	0.7190627674
22	0.7192528512	0.6359687132	0.7192528512
23	0.7196060256	0.6347507232	0.7196060256
24	0.7198480067	0.6336153947	0.7198480067
25	0.7202088106	0.6325453509	0.7202088106
26	0.720371706	0.6315368072	0.720371706
27	0.7205757625	0.6305459431	0.7205757625
28	0.7208053952	0.6295952034	0.7208053952
29	0.721035284	0.6286849225	0.721035284
30	0.721225457	0.6278496054	0.721225457
31	0.721377719	0.627057296	0.721377719
32	0.7216323562	0.6262792166	0.7216323562
33	0.7218715109	0.6255638024	0.7218715109
34	0.7220466767	0.6248746448	0.7220466767
35	0.7222494935	0.6242024364	0.7222494935
36	0.7224022116	0.6235704834	0.7224022116
37	0.722611533	0.6229820456	0.722611533
38	0.7227160019	0.6224096932	0.7227160019
39	0.7229270404	0.6218173768	0.7229270404
40	0.7230963529	0.6213077555	0.7230963529
41	0.7232664716	0.6208079792	0.7232664716
42	0.7234747293	0.6203061247	0.7234747293
43	0.7236285258	0.6198291075	0.7236285258
44	0.7238026666	0.6193480013	0.7238026666
45	0.7239682066	0.6189197387	0.7239682066
46	0.724175315	0.6184813568	0.724175315
47	0.7243599401	0.6180870453	0.7243599404848	0.724526109	0.6176894015	0.724526109
49	0.7246785402	0.6173259757	0.7246785402
50	0.724868462	0.6169447214	0.724868462
51	0.7250624108	0.6165742103	0.7250624152	52	0.7252515353	0.6162133425	0.7252515353	53	0.7253883384	0.6158784114	0.7253883354	54	0.7255355721	0.6155761426	0.725535555	055	0.725702868	0.6152506321	0.725702865656	0.7258383138	0.6149502442	0.7258383135757	0.7260190793	0.614668849	0.7260190793558	0.7261780805	0.6143790981	0.7261780805959	0.7263435484	0.6141020709	0.7263435486060	0.7264965657	0.613832201	0.7264965657661	0.726678753	0.6135619787	0.726678753
62	0.7268734144	0.6132746254	0.7268734144
63	0.72700867	0.6130349692	0.72700867
64	0.7271685347	0.6127706595	0.7271685347
65	0.7272965717	0.6125506352	0.7272965717
66	0.727478138	0.6122999663	0.727478138
67	0.727610419	0.6120707656	0.727610419
68	0.7277488033	0.6118553521	0.7277488033
69	0.7279431132	0.6116297972	0.7279431132
70	0.7281042262	0.6114030767	0.7281042262
71	0.7282533608	0.6111920942	0.7282533608
72	0.7283809496	0.6109925802	0.7283809496
73	0.7285065348	0.6108079078	0.7285065348
74	0.7287237621	0.6105869982	0.7287237621
75	0.7288444706	0.6104118353	0.7288444706
76	0.729031735	0.610204629	0.729031735
77	0.729244827	0.6100023535	0.729244827
78	0.7294258134	0.6097916341	0.7294258134
79	0.7295691849	0.6096010423	0.7295691849
80	0.7297232959	0.6094021268	0.7297232959
81	0.7299306061	0.6092152601	0.7299306061
82	0.7300882669	0.6090210887	0.7300882669
83	0.7302157893	0.6088462366	0.7302157893
84	0.7303891386	0.6086495427	0.7303891386
85	0.7305563632	0.6084787815	0.7305563632
86	0.730689829	0.6083205215	0.730689829
87	0.7308643029	0.608149773	0.7308643029
88	0.7310086046	0.6079818464	0.7310086046
89	0.7311286957	0.6078268105	0.7311286957
90	0.7312787035	0.6076680642	0.7312787035
91	0.7314157961	0.6075046078	0.7314157961
92	0.7315961558	0.6073337073	0.7315961558
93	0.7317889402	0.6071575467	0.7317889402
94	0.7319585291	0.6069895445	0.7319585291
95	0.732132571	0.6068309688	0.732132571
96	0.7322768051	0.6066961615	0.7322768051
97	0.7324324269	0.6065357252	0.7324324269
98	0.7325700706	0.606401387	0.7325700706
99	0.7327536338	0.6062514635	0.7327536338
100	0.7328614037	0.6061253143	0.7328614037
101	0.7330134962	0.6059813412	0.7330134962
102	0.7331458105	0.6058455945	0.7331458105
103	0.7333150584	0.6057044806	0.7333150584
104	0.7335049179	0.6055507902	0.7335049179
