iter	Passed	Remaining
0	4443	4438609
1	9006	4494477
2	13397	4452453
3	17833	4440462
4	22452	4468122
5	27076	4485602
6	31888	4523585
7	36558	4533219
8	41428	4561709
9	46188	4572671
10	51045	4589470
11	55921	4604217
12	60443	4589076
13	65081	4583590
14	69811	4584291
15	74470	4579912
16	79214	4580448
17	83885	4576404
18	88432	4565923
19	93136	4563670
20	97922	4565070
21	102713	4566076
22	107451	4564333
23	112174	4561770
24	116948	4560999
25	121708	4559378
26	126409	4555426
27	131311	4558376
28	136055	4555529
29	140871	4554842
30	145615	4551663
31	150428	4550456
32	155068	4543983
33	159819	4540746
34	164582	4537764
35	169322	4534084
36	174017	4529166
37	178779	4525937
38	183437	4520086
39	188085	4514059
40	192877	4511443
41	197514	4505222
42	202234	4500895
43	206872	4494784
44	211606	4490766
45	216307	4486029
46	220933	4479773
47	225642	4475242
48	230390	4471447
49	234885	4462820
50	239516	4456889
51	244214	4452218
52	248929	4447854
53	253471	4440450
54	257980	4432574
55	262691	4428233
56	267335	4422764
57	271912	4416227
58	276566	4411003
59	281297	4406990
60	285873	4400573
61	290650	4397255
62	295306	4392092
63	299993	4387408
64	304765	4383932
65	309391	4378365
66	313995	4372499
67	318565	4366219
68	323227	4361235
69	327986	4357536
70	332723	4353525
71	337539	4350504
72	342098	4344184
73	346744	4338992
74	351316	4332901
75	356013	4328369
76	360621	4322774
77	365339	4318499
78	370111	4314841
79	374721	4309293
80	379491	4305588
81	384204	4301217
82	388930	4296973
83	393596	4292072
84	398086	4285285
85	402750	4280398
86	407376	4275115
87	411901	4268800
88	416533	4263617
89	421187	4258671
90	425995	4255269
91	430761	4251426
92	435504	4247343
93	440189	4242672
94	444839	4237683
95	449444	4232267
96	454042	4226807
97	458711	4222017
98	463227	4215840
99	467930	4211375
100	472495	4205675
101	477109	4200431
102	481746	4195403
103	486343	4190033
104	490987	4185083
105	495713	4180825
106	500200	4174570
107	504742	4168795
108	509250	4162768
109	513964	4158442
110	518516	4152800
